building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
7栋,西什库店,暂无信息,西黄城根北街,1,西四,黄城根小学/西什库小学,西城区西什库大街26号院4楼2号一层底墒,西城,4号线平安里站,0,板楼平房 1980年,160户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380793/,板楼/平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,丁丁虚拟8店,暂无信息,小珠帘胡同,0,金融街,,无,西城,4号线西四站,0,未知类型 未知年,8户,暂无信息,http://bj.lianjia.com/xiaoqu/1111041485347/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
12栋,丁丁虚拟6店,暂无信息,西四北二条,0,西四,西四北四小学,无,西城,4号线平安里站,0,平房 未知年,27户,暂无信息,http://bj.lianjia.com/xiaoqu/1111044801241/,平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,冠英园店,暂无信息,小杨家胡同,0,西四,厂桥小学,西城区赵登禹路冠英园西底墒29号楼,西城,4号线平安里站,0,未知类型 未知年,8户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027381362/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
5栋,丁丁虚拟8店,暂无信息,姚家胡同,0,西四,西四北四小学,无,西城,4号线西四站,0,未知类型 未知年,20户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027381784/,未知类型,暂无均价,0,暂无信息,,容积率/0.7  暂无绿化率信息
1栋,福丽特店,暂无信息,明湖大厦,0,六铺炕,,西城区黄寺大街23号1号楼109,西城,8号线安华桥站,0,板楼 1989年,360户,蓝玉大厦物业管理公司,http://bj.lianjia.com/xiaoqu/1111027378274/,板楼,暂无均价,0,暂无信息,,容积率/1.85  绿化率/30%
18栋,和平新城新租赁店,暂无信息,旧鼓楼大街,0,六铺炕,鸦儿胡同小学,,西城,2号线鼓楼大街站,0,平房 未知年,45户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027377134/,平房,暂无均价,0,暂无信息,,容积率/1.3  绿化率/16%
27栋,和平新城新租赁店,暂无信息,大翔凤胡同,0,地安门,十三中附小,,西城,2号线鼓楼大街站,0,平房 未知年,102户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027373965/,平房,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,冠英园店,暂无信息,护国寺西巷33号院,0,西四,,西城区赵登禹路冠英园西底墒29号楼,西城,4号线平安里站,0,未知类型 未知年,4户,暂无信息,http://bj.lianjia.com/xiaoqu/1111043031965/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
6栋,和平新城新租赁店,暂无信息,银锭桥胡同,0,地安门,十三中附小,,西城,8号线什刹海站,0,未知类型 未知年,24户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027381587/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
2栋,和平新城新租赁店,暂无信息,清秀巷,0,地安门,鸦儿胡同小学,,西城,8号线什刹海站,0,未知类型 未知年,5户,暂无信息,http://bj.lianjia.com/xiaoqu/1111041143088/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
