building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
17栋,0.4元/平米/月,欣园小区,10,二号桥街,,河东,津滨9号线二号桥站,0,1990年,1208户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211047599528/,板楼,11381,1,无开发商,容积率/1.5  绿化率/10%
8栋,0.5元/平米/月,红旗巷四条,3,二号桥街,,河东,津滨9号线二号桥站,0,1983年,251户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051221696/,板楼,11923,1,无开发商,容积率/1.7  绿化率/30%
1栋,1.8元/平米/月,合汇大厦,5,富民路,,河东,1号线陈塘庄站,0,2002年,122户,天津市大安物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045532423/,板楼,10737,1,天津市大安房地产开发有限公司,容积率/4.9  绿化率/10%
8栋,0.5元/平米/月,红旗巷二条,5,二号桥街,,河东,津滨9号线二号桥站,0,1983年,342户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051218618/,板楼,11923,1,无开发商,暂无容积率信息  暂无绿化率信息
5栋,0.5元/平米/月,和平村大街9号,8,春华街,,河东,2号线天津站站,0,1991年,230户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811050766332/,板楼,21212,2,无开发商,容积率/1.5  绿化率/10%
5栋,0.75元/平米/月,丰瑞里,2,大王庄,六纬路小学,河东,津滨9号线直沽站,0,1997年,258户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045508431/,板楼,25303,2,无开发商,容积率/1.25  绿化率/15%
2栋,0.5元/平米/月,八纬路,2,大直沽,一中心小学,河东,津滨9号线十一经路站,0,1991年,144户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045524938/,板楼,19740,2,天津建委,容积率/1.5  绿化率/10%
2栋,0.8元/平米/月,东景大厦,3,春华街,,河东,2号线天津站站,0,2002年,120户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046140600/,板楼,19953,2,无开发商,容积率/1.5  绿化率/10%
17栋,0.7元/平米/月,欣荣嘉园,14,唐家口,,河东,2号线远洋国际中心站,0,2000年,856户,天津佳欣物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045491020/,板楼,21008,2,天津市河东区建设委员会,容积率/1.8  绿化率/10%
5栋,0.5元/平米/月,福旺花园,1,春华街,,河东,2号线顺驰桥站,0,2001年,282户,天津市立达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045462156/,板楼,23123,2,天津开发区津玉房地产开发有限公司,暂无容积率信息  暂无绿化率信息
7栋,0.5元/平米/月,静墅里,8,上杭路,缘诚小学,河东,,0,1982年,270户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045568371/,板楼,19369,2,无开发商,容积率/1.6  绿化率/10%
4栋,0.5元/平米/月,九纬路,4,大王庄,一中心小学,河东,津滨9号线十一经路站,0,1995年,192户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811050966654/,板楼,19643,2,无开发商,容积率/1.5  绿化率/10%
8栋,0.75元/平米/月,大直沽五号路,10,大直沽,六纬路小学,河东,津滨9号线直沽站,2,1995年,502户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051656660/,塔楼/板楼,20361,2,无开发商,容积率/1.5  绿化率/10%
